tag_id,name,category,count
1455296,sleeves_past_fingers,0,17511
2489,sunset,0,17480
1233478,black_serafuku,0,17478
559163,emphasis_lines,0,17478
375986,empty_eyes,0,17414
586765,low_ponytail,0,17407
2378,buruma,0,17339
452445,+_+,0,17336
520850,bespectacled,0,17326
1515358,blue_theme,0,17252
483898,frilled_bikini,0,17252
426491,hands_on_hips,0,17242
570718,fur_collar,0,17230
643898,purple_background,0,17211
583857,oni_horns,0,17207
412202,:q,0,17203
4039,dog,0,17192
520991,pink_ribbon,0,17150
583299,goggles_on_head,0,17150
479955,4boys,0,17106
717047,page_number,0,17105
12250,yakumo_ran,4,17058
388067,demon_wings,0,17042
593297,green_background,0,17027
467585,highleg_leotard,0,17027
1491014,blue_headwear,0,17007
728008,thighband_pantyhose,0,17003
671227,tearing_up,0,16985
1463605,1other,0,16944
6439,running,0,16936
529447,arm_behind_head,0,16888
536573,colored_sclera,0,16883
538012,hat_removed,0,16878
1629722,large_pectorals,0,16844
9831,teddy_bear,0,16815
399655,striped_bikini,0,16804
508016,pocket,0,16797
646849,fate/apocrypha,3,16788
668761,white_border,0,16773
522454,hand_in_hair,0,16769
4091,bunny,0,16751
457726,track_jacket,0,16740
509884,impossible_clothes,0,16687
673911,hood_up,0,16680
391713,long_skirt,0,16666
10538,ice,0,16630
538475,asymmetrical_hair,0,16613
382969,bow_(weapon),0,16594
664922,dragon_horns,0,16583
397215,outline,0,16545
1295582,strapless_leotard,0,16529
572906,crying_with_eyes_open,0,16517
1501540,skin_fang,0,16517
670088,hand_on_another's_head,0,16468
820510,horse_girl,0,16456
690177,tress_ribbon,0,16426
491367,cropped_jacket,0,16414
617356,blue_shorts,0,16395
399,yukata,0,16332
448882,|_|,0,16295
1592077,topless_male,0,16281
1636487,one-hour_drawing_challenge,0,16238
610272,purple_skirt,0,16216
1401711,red_neckwear,0,16211
6,saber,4,16205
11882,watch,0,16184
654772,knee_up,0,16160
403286,toned,0,16144
648056,paw_pose,0,16123
493843,head_rest,0,16067
652293,legs_together,0,16043
506510,military_hat,0,16042
390427,kagamine_rin,4,16024
2467,ghost,0,15999
1408636,jeanne_d'arc_(fate),4,15975
473529,;),0,15972
593109,miki_sayaka,4,15944
2268,popsicle,0,15923
6441,beads,0,15896
613207,purple_legwear,0,15893
15571,shawl,0,15881
384087,angel_wings,0,15836
537668,poke_ball,0,15823
